Código/Nome da área;Código/Nome Subárea;Código da atividade;Nome da Atividade;
4. Educação em Direitos Humanos, Cidadania e Civismo;41. Educação em Direitos Humanos ;41007;Educação em Direitos Humanos;
;;41001;Direitos da criança e do adolescente;
;;41014;Respeito e valorização do idoso;
;;41015;Educação para o trânsito;
;;41016;Estudo do Estatuto do Idoso;
;;41017;Legislação e conduta no Trânsito;
;;41018;Parcerias com os órgãos de Trânsito;
;;41019;Ações de respeito à diversidade;
;;41020;Constituição, direitos e deveres do cidadão;
;;41021;Estudo do Estatuto da Criança e do Adolescente;
;;41022;Ações de integração Família e Escola;
;;41023;Ações de integração Comunidade e Escola;
;;41024;Vida Familiar e Social;
;;41025;Protagonismo Estudantil, Projeto de Vida, Agremiações Estudantis;
;;41026;Cultura de paz;
;;41027;Direitos dos refugiados e imigrantes;
;;41028;Educação Inclusiva;
;;41029;Democracia e participação social;
10. Iniciação Científica;101. Iniciação Científica;10103;Iniciação Científica;
13. Educação Ambiental, Desenvolvimento Sustentável;133. Educação Ambiental, Desenvolvimento Sustentável ;13301;Educação Ambiental e Desenvolvimento Sustentável;
;;13104;Conservação do solo e composteira: canteiros sustentáveis (horta) e/ou jardinagem escolar;
;;13303;Reciclagem;
;;13304;Reflorestamento - Plantio de árvores;
;;13305;Consumo consciente de água;
;;13306;Escolas sustentáveis e COM-vida;
;;13307;Coleta seletiva/ Gestão de resíduos;
;;13308;Captação e aproveitamento de Água de Chuva;
;;13309;Uso de energias alternativas na escola;
;;13310;Projetos de pesquisa na escola e entorno;
14. Comunicação, Uso de Mídias e Cultura Digital e Tecnológica;141. Comunicação e Uso de Mídias;14101;Fotografia;
;;14102;História em Quadrinhos;
;;14103;Jornal Escolar;
;;14104;Rádio Escolar;
;;14105;Vídeo;
;;14106;Playlists comentadas, fanfics, fanzines,e-zines, fanvídeos, fanclipes;
;142. Cultura Digital e Tecnológica;14201;Robótica Educacional;
;;14202;Tecnologicas Educacionais;
;;14203;Ambientes de Redes Sociais;
;;14204;Pensamento computacional e cultura digital;
;;14205;Computação, programação;
;;14206;Ética e segurança digital;
;149. Outras;14999;Outra Categoria de Comunicação, Uso de Mídias e Cultura Digital e Tecnológica;
15. Educação para valorização do multiculturalismo nas matrizes históricas e culturais Brasileiras;151. Memória e História das Comunidades Tradicionais;15101;Memória e História das Comunidades Tradicionais;
;152. Memória e História das Cultura Afro-Brasileira e Africana;15201;Memória e História das Cultura Afro-Brasileira e Africana;
;153. Memória e História das Culturas e Indígenas;15301;Memória e História das Culturas e Indígenas;
;154. Diversidade e Multiculturalismo;15401;Respeito à Diversidade Étnico-Racial;
;;15402;A contribuição dos povos no Multiculturalismo Brasileiro;
17. Trabalho e Educação para o consumo, finaceira e fiscal;171.Educação para o Consumo;17101;Educação para o Consumo Sustentável;
;;17102;Fomento da Economia Solidária e Criativa;
;172.Educação Financeira;17201;Educação Financeira;
;;17202;Economia;
;173. Educação Fiscal;17301;Controle social do gasto público;
;;17302;Educação Tributária;
;174. Trabalho;17401;Direitos e Deveres do Trabalhador;
;;17402;O mundo do trabalho;
19 Saúde e Educação Socioemocional;191. Promoção da Saúde;19101;Promoção da Saúde ;
;;19102;Higiene e Cuidados Pessoais/ Higiene Pessoal;
;;19103;Saúde Bucal;
;;19104;Campanhas de vacinação ;
;;19105;Educação em saúde reprodutiva ;
;;19106;Prevenção ao uso de Álcool, Tabaco e Drogas;
;;19107;Primeiros Socorros;
;;19108;Ações de prevenção a doenças epidemiológicas;
;;19109;Meditação;
;;19110;Saúde Mental e Bem-Estar Psicológico;
;192.Educação de competências sociemocionais;19201;Desenvolvimento de competências socioemocionais;
;;19202;Atividades de autoconhecimento, identificação e gestão de sentimento;
;;19203;Atividades de empatia e gestão de conflitos;
20. Educação Alimentar e Nutricional;201. Educação Alimentar e Nutricional;20101;Educação alimentar e nutricional;
;;20102;Estudos dos aspectos nutricionais dos alimentos;
;;20103;Ações de Prevenção dos distúrbios alimentares;
;;20104;Elaboração de Cardápio Contextualizado local;
